#A) Alla behöriga sökande är antagna B) Ingen sökande är antagen på programmet C) Antagning görs på meritvärde och test / inträdesprov
#E) Skolan har egen antagning F) Program startar ej G) Meritvärde består av betyg + prov
Naturbruksprogrammet - Djur , Praktiska Malmö Limhamn A 182.0
Naturbruksprogrammet - Djur - lärling - Trav och galopp, Malmö Lärlingscenter A 212.0
Naturbruksprogrammet - Skog - Natur och Äventyr, Realgymnasiet Malmö A 222.0
Restaurang- och livsmedelsprogrammet , Värnhemsskolan Malmö A 192.0
Restaurang- och livsmedelsprogrammet - lärling , Malmö Lärlingscenter A 191.0
Samhällsvetenskapsprogrammet , Hermods Gymnasium 207.5 240.0
Samhällsvetenskapsprogrammet , Plusgymnasiet Malmö A 204.0
Samhällsvetenskapsprogrammet , Thoren Business School Malmö 192.5 212.0
Samhällsvetenskapsprogrammet - Idrott, ProCivitas Privata Gymnasium Malmö 227.5 265.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Pauliskolan Malmö 202.5 235.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Bernadottegymnasiet, Pauliskolan Malmö A 219.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , 4ans gymnasium Malmö A 193.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Cybergymnasiet Malmö A 206.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Fria Läroverken Malmö A 223.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Idrottspecialisering, Fria Läroverken Malmö A 228.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , S:t Petri skola Malmö 265.0 289.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Jensen Gymnasium Malmö A 217.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Idrott, Malmö Idrottsgymnasium 197.5 234.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Kunskapsgymnasiet Malmö A 212.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Einar Hansengymnasiet Malmö A 221.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Design & Construction College Malmö A
Samhällsvetenskapsprogrammet - Beteendevetenskap - Kriminologi, Drottning Blankas Gymnasieskola Malmö A 215.0
Samhällsvetenskapsprogrammet - Medier, information och kommunikation , Malmö latinskola 192.5 240.0
Samhällsvetenskapsprogrammet - Medier, information och kommunikation , 4ans gymnasium Malmö B
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Malmö latinskola 212.5 252.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Malmö Borgarskola 222.5 248.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Engelskspråkig, Malmö Borgarskola 247.5 263.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Pauliskolan Malmö A 198.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , 4ans gymnasium Malmö B
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Cybergymnasiet Malmö A 192.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Fria Läroverken Malmö A 186.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Idrottspecialisering, Fria Läroverken Malmö A 213.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , S:t Petri skola Malmö 250.0 276.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö B
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Jensen Gymnasium Malmö A 196.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Internationell, Bladins gymnasium Malmö 227.5 248.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Social Science: Internationell: Engelskspråkig, Bladins gymnasium Malmö 227.5 259.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Kunskapsgymnasiet Malmö A 219.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Internationell profil, ProCivitas Privata Gymnasium Malmö 282.5 305.0
Teknikprogrammet , Pauliskolan Malmö 167.5 231.0
Teknikprogrammet - Design och produktutveckling , Design & Construction College Malmö A 210.0
Teknikprogrammet - Information- och medieteknik - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 215.0
Teknikprogrammet - Informations- och medieteknik , NTI-gymnasiet Malmö A 217.0
Teknikprogrammet - Informations- och medieteknik , Cybergymnasiet Malmö A 179.0
Teknikprogrammet - Samhällsbyggande och miljö , Design & Construction College Malmö A 175.0
Teknikprogrammet - Teknikvetenskap , Cybergymnasiet Malmö A 239.0
VVS- och fastighetsprogrammet , Framtidsgymnasiet Malmö A 187.0
VVS- och fastighetsprogrammet , Universitetsholmens gymnasium Malmö A 201.0
VVS- och fastighetsprogrammet - lärling , Malmö Lärlingscenter A 196.0
VVS- och fastighetsprogrammet - VVS , Praktiska Malmö City A 185.0
VVS- och fastighetsprogrammet - VVS - lärling , Yrkesgymnasiet Malmö A 155.0
Vård- och omsorgsprogrammet , Praktiska Malmö City A 197.0
Vård- och omsorgsprogrammet , Universitetsholmens gymnasium Malmö A 185.0
Vård- och omsorgsprogrammet - Räddningsmedicin och akutsjukvård, Drottning Blankas Gymnasieskola Malmö A 206.0
Vård- och omsorgsprogrammet - lärling , Malmö Lärlingscenter A 167.0
