Bygg- och anläggningsprogrammet , PEAB-skolan Malmö 107.5 176.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Jensen Gymnasium Malmö 180.0 200.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Internationell, Bladins gymnasium Malmö 247.5 261.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Social Science: Internationell: Engelskspråkig, Bladins gymnasium Malmö 255.0 284.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Kunskapsgymnasiet Malmö A 204.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Internationell profil, ProCivitas Privata Gymnasium Malmö 302.5 317.0
Teknikprogrammet , Pauliskolan Malmö 195.0 246.0
Teknikprogrammet - Information- och medieteknik - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 217.0
Teknikprogrammet - Informations- och medieteknik , NTI-gymnasiet Malmö A 214.0
Teknikprogrammet - Informations- och medieteknik , Cybergymnasiet Malmö A 197.0
Teknikprogrammet - Teknikvetenskap , Cybergymnasiet Malmö A 245.0
VVS- och fastighetsprogrammet , Framtidsgymnasiet Malmö A 163.0
VVS- och fastighetsprogrammet , Universitetsholmens gymnasium Malmö 157.5 205.0
VVS- och fastighetsprogrammet - lärling , Malmö Lärlingscenter A 212.0
VVS- och fastighetsprogrammet - VVS , Praktiska Malmö City A 151.0
VVS- och fastighetsprogrammet - VVS - lärling , Yrkesgymnasiet Malmö A 127.0
Vård- och omsorgsprogrammet , Praktiska Malmö City A 173.0
Vård- och omsorgsprogrammet , Universitetsholmens gymnasium Malmö A 186.0
Vård- och omsorgsprogrammet - Räddningsmedicin och akutsjukvård, Drottning Blankas Gymnasieskola Malmö 130.0 213.0
Vård- och omsorgsprogrammet - lärling , Malmö Lärlingscenter A 167.0
